"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (20)";"Total_Marks (100)";"Comments"
22AE10002;10;10;10;10;10;10;10;10;20;100;Keep it up~~~~========= TEST CASES =========~~~~~~Your output:~~Enter a number: S1 = 6105~~S2 = 449735~~S3 = 2~~~~Your output:~~Enter a number: S1 = 47895~~S2 = 9882335~~S3 = 12~~~~Your output:~~Enter a number: S1 = 125250~~S2 = 41791750~~S3 = 5~~~~Your output:~~Enter a number: S1 = 5050~~S2 = 338350~~S3 = 1~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Proper input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed S1 (sum of first n natural numbers)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Computed S2 (sum of squares of first n natural numbers)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Computed S3 (sum of digits on n)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed S1, S2, S3~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
22AE10022;10;10;10;10;10;10;10;10;20;100;Good~~~~========= TEST CASES =========~~~~~~Your output:~~Enter an three digit integer~~S1=sum of natural numbers upto 110~~S2=sum of squares of natural numbers upto 110~~S3=sum of digits of integers of 110~~S1 = 6105~~S2 = 449735~~S3 = 2~~~~Your output:~~Enter an three digit integer~~S1=sum of natural numbers upto 309~~S2=sum of squares of natural numbers upto 309~~S3=sum of digits of integers of 309~~S1 = 47895~~S2 = 9882335~~S3 = 12~~~~Your output:~~Enter an three digit integer~~S1=sum of natural numbers upto 500~~S2=sum of squares of natural numbers upto 500~~S3=sum of digits of integers of 500~~S1 = 125250~~S2 = 41791750~~S3 = 5~~~~Your output:~~Enter an three digit integer~~S1=sum of natural numbers upto 100~~S2=sum of squares of natural numbers upto 100~~S3=sum of digits of integers of 100~~S1 = 5050~~S2 = 338350~~S3 = 1~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Proper input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~Computed S1 (sum of first n natural numbers)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~Computed S2 (sum of squares of first n natural numbers)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~Computed S3 (sum of digits on n)~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~Printed S1, S2, S3~~  Mark/s obtained: 20 out of 20~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
